species,genus,family,order,year,month,day,decimalLatitude,decimalLongitude,locality,basisOfRecord,datasetName,institutionCode
Turdus mandarinus,Turdus,Turdidae,Passeriformes,2026,1,26,22.547275,114.100955,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Tadorna ferruginea,Tadorna,Anatidae,Anseriformes,2026,1,6,22.498764,114.045827,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Motacilla alba,Motacilla,Motacillidae,Passeriformes,2026,1,10,22.468996,114.194916,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Aythya nyroca,Aythya,Anatidae,Anseriformes,2026,1,11,22.585504,114.111682,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Ardeola bacchus,Ardeola,Ardeidae,Pelecaniformes,2026,1,23,22.565955,114.169042,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Tringa glareola,Tringa,Scolopacidae,Charadriiformes,2026,1,18,22.483933,114.103422,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Pica serica,Pica,Corvidae,Passeriformes,2026,1,11,22.515553,114.113274,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Copsychus saularis,Copsychus,Muscicapidae,Passeriformes,2026,1,20,22.500549,113.953087,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Tringa nebularia,Tringa,Scolopacidae,Charadriiformes,2026,1,25,22.465824,114.02587,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Anas platyrhynchos,Anas,Anatidae,Anseriformes,2026,1,20,22.562259,114.073703,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Mareca penelope,Mareca,Anatidae,Anseriformes,2026,1,25,22.489211,114.04261,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Spilopelia chinensis,Spilopelia,Columbidae,Columbiformes,2026,1,23,22.482575,114.071458,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Milvus migrans,Milvus,Accipitridae,Accipitriformes,2026,1,25,22.465824,114.02587,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Himantopus himantopus,Himantopus,Recurvirostridae,Charadriiformes,2026,1,17,22.508795,114.112977,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Spatula clypeata,Spatula,Anatidae,Anseriformes,2026,1,23,22.51166,114.117152,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Halcyon smyrnensis,Halcyon,Alcedinidae,Coraciiformes,2026,1,24,22.504971,114.11124,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Anthus hodgsoni,Anthus,Motacillidae,Passeriformes,2026,1,25,22.486276,114.040936,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Halcyon smyrnensis,Halcyon,Alcedinidae,Coraciiformes,2026,1,7,22.469686,114.009234,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Pycnonotus aurigaster,Pycnonotus,Pycnonotidae,Passeriformes,2026,1,7,22.823508,113.894998,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Tringa glareola,Tringa,Scolopacidae,Charadriiformes,2026,1,23,22.481148,114.051989,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Phalacrocorax carbo,Phalacrocorax,Phalacrocoracidae,Suliformes,2026,1,21,22.475185,114.139786,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Tringa glareola,Tringa,Scolopacidae,Charadriiformes,2026,1,24,22.508128,114.113233,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Anthus hodgsoni,Anthus,Motacillidae,Passeriformes,2026,1,20,22.671919,113.851557,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Pycnonotus sinensis,Pycnonotus,Pycnonotidae,Passeriformes,2026,1,15,22.559038,114.003521,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Gallinula chloropus,Gallinula,Rallidae,Gruiformes,2026,1,15,22.516261,114.015961,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Phoenicurus auroreus,Phoenicurus,Muscicapidae,Passeriformes,2026,1,25,22.486633,114.040979,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Parus cinereus,Parus,Paridae,Passeriformes,2026,1,12,22.518962,113.982243,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Copsychus saularis,Copsychus,Muscicapidae,Passeriformes,2026,1,1,22.546094,114.101704,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Pandion haliaetus,Pandion,Pandionidae,Accipitriformes,2026,1,9,22.46948,114.009132,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Milvus migrans,Milvus,Accipitridae,Accipitriformes,2026,1,6,22.498764,114.045827,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Chloropsis hardwickii,Chloropsis,Chloropseidae,Passeriformes,2026,1,6,22.556172,114.031016,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Himantopus himantopus,Himantopus,Recurvirostridae,Charadriiformes,2026,1,15,22.553984,114.171994,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Garrulax perspicillatus,Garrulax,Leiothrichidae,Passeriformes,2026,1,21,22.510014,113.944656,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Sturnia sinensis,Sturnia,Sturnidae,Passeriformes,2026,1,8,22.49601,114.056192,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Himantopus himantopus,Himantopus,Recurvirostridae,Charadriiformes,2026,1,10,22.498764,114.045827,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Aquila heliaca,Aquila,Accipitridae,Accipitriformes,2026,1,10,22.577956,114.014432,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Ardea purpurea,Ardea,Ardeidae,Pelecaniformes,2026,1,21,22.498766,114.045828,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Gracupica nigricollis,Gracupica,Sturnidae,Passeriformes,2026,1,10,22.498764,114.045827,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Saxicola stejnegeri,Saxicola,Muscicapidae,Passeriformes,2026,1,15,22.531856,114.117019,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Lonchura striata,Lonchura,Estrildidae,Passeriformes,2026,1,16,22.534114,113.939814,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Phalacrocorax carbo,Phalacrocorax,Phalacrocoracidae,Suliformes,2026,1,17,22.469452,114.030495,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Tringa nebularia,Tringa,Scolopacidae,Charadriiformes,2026,1,18,22.495245,114.046458,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Dicrurus leucophaeus,Dicrurus,Dicruridae,Passeriformes,2026,1,19,22.578666,114.178536,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Ardea alba,Ardea,Ardeidae,Pelecaniformes,2026,1,25,22.465824,114.02587,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Ardea cinerea,Ardea,Ardeidae,Pelecaniformes,2026,1,21,22.498766,114.045828,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Amandava amandava,Amandava,Estrildidae,Passeriformes,2026,1,19,22.646044,113.952134,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Saxicola stejnegeri,Saxicola,Muscicapidae,Passeriformes,2026,1,20,22.528528,114.197528,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Hemixos castanonotus,Hemixos,Pycnonotidae,Passeriformes,2026,1,22,22.47846,114.182548,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Alcedo atthis,Alcedo,Alcedinidae,Coraciiformes,2026,1,10,22.497942,114.058294,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Motacilla tschutschensis,Motacilla,Motacillidae,Passeriformes,2026,1,12,22.589086,114.023598,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Motacilla tschutschensis,Motacilla,Motacillidae,Passeriformes,2026,1,14,22.598162,114.045848,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Ciconia boyciana,Ciconia,Ciconiidae,Ciconiiformes,2026,1,10,22.510065,114.190047,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Anthus hodgsoni,Anthus,Motacillidae,Passeriformes,2026,1,11,22.52647,114.151223,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Pica serica,Pica,Corvidae,Passeriformes,2026,1,23,22.552355,114.107087,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Mareca falcata,Mareca,Anatidae,Anseriformes,2026,1,25,22.464568,114.179506,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Anas crecca,Anas,Anatidae,Anseriformes,2026,1,20,22.450455,114.11118,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Spilopelia chinensis,Spilopelia,Columbidae,Columbiformes,2026,1,21,22.556589,114.097301,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Aythya fuligula,Aythya,Anatidae,Anseriformes,2026,1,2,22.474323,114.041181,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Ciconia boyciana,Ciconia,Ciconiidae,Ciconiiformes,2026,1,20,22.523844,114.104633,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Anas platyrhynchos,Anas,Anatidae,Anseriformes,2026,1,11,22.484662,114.032289,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Amaurornis phoenicurus,Amaurornis,Rallidae,Gruiformes,2026,1,12,22.563,114.14401,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Gracupica nigricollis,Gracupica,Sturnidae,Passeriformes,2026,1,25,22.48695,114.040504,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Parus cinereus,Parus,Paridae,Passeriformes,2026,1,4,22.577092,114.177211,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Pycnonotus sinensis,Pycnonotus,Pycnonotidae,Passeriformes,2026,1,10,22.498764,114.045827,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Saxicola stejnegeri,Saxicola,Muscicapidae,Passeriformes,2026,1,25,22.474745,114.036307,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Psittacula eupatria,Psittacula,Psittacidae,Psittaciformes,2026,1,12,22.586348,114.024988,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Pycnonotus jocosus,Pycnonotus,Pycnonotidae,Passeriformes,2026,1,18,22.53323,113.927155,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Himantopus himantopus,Himantopus,Recurvirostridae,Charadriiformes,2026,1,25,22.505215,114.110388,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Garrulax perspicillatus,Garrulax,Leiothrichidae,Passeriformes,2026,1,9,22.640413,113.867873,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Lanius schach,Lanius,Laniidae,Passeriformes,2026,1,12,22.829803,113.893314,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Mareca falcata,Mareca,Anatidae,Anseriformes,2026,1,24,22.479684,114.176355,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Streptopelia decaocto,Streptopelia,Columbidae,Columbiformes,2026,1,17,22.471737,114.041542,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Spatula clypeata,Spatula,Anatidae,Anseriformes,2026,1,10,22.520705,113.994591,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Motacilla cinerea,Motacilla,Motacillidae,Passeriformes,2026,1,18,22.477495,114.097413,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Ardea alba,Ardea,Ardeidae,Pelecaniformes,2026,1,21,22.514614,113.946136,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Turdus cardis,Turdus,Turdidae,Passeriformes,2026,1,24,22.575961,114.174246,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Ceryle rudis,Ceryle,Alcedinidae,Coraciiformes,2026,1,11,22.638114,113.86725,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Acridotheres cristatellus,Acridotheres,Sturnidae,Passeriformes,2026,1,23,22.52941,114.149109,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Ardeola bacchus,Ardeola,Ardeidae,Pelecaniformes,2026,1,14,22.513337,114.034214,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Prinia inornata,Prinia,Cisticolidae,Passeriformes,2026,1,15,22.464767,114.112215,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Mareca penelope,Mareca,Anatidae,Anseriformes,2026,1,12,22.512351,113.950793,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Pycnonotus jocosus,Pycnonotus,Pycnonotidae,Passeriformes,2026,1,16,22.586169,114.055768,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Himantopus himantopus,Himantopus,Recurvirostridae,Charadriiformes,2026,1,21,22.498766,114.045828,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Phalacrocorax carbo,Phalacrocorax,Phalacrocoracidae,Suliformes,2026,1,2,22.475076,114.040607,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Tringa glareola,Tringa,Scolopacidae,Charadriiformes,2026,1,24,22.515512,114.123979,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Saxicola stejnegeri,Saxicola,Muscicapidae,Passeriformes,2026,1,10,22.478232,114.034634,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
